la abundancia ; obfitoœæ
Otorgar ; przyznawaæ/udzielaæ
Padecer ; cierpieæ 
Poseer ; posiadaæ
Promover ; promowaæ/awansowaæ
Rechazar ; odmówiæ/odrzuciæ (to refuse)
Recoger ; zbieraæ (to collect)
Rendirse ; poddawaæ siê (to surrender)
Renunciar ; rezygnowaæ / zrzekaæ siê
Resumir ; podsumowaæ
Rodear ; otaczaæ
Solicitar ; ubiegaæ siê
Soportar ; znosiæ/wytrzymywaæ
Sostener ; trzymaæ/utrzymywaæ [zdanie]
Suministrar ; dostarczaæ/zaopatrywaæ
Surgir ; powstawaæ/pojawiaæ siê
Temer ; baæ siê
Tratar ; próbowaæ (to try)
Trazar ; rysowaæ/kreœliæ
Abarrotado ; przepe³niony
Acostumbrado ; przyzwyczajony
Afilado ; ostry [kszta³t]
Agolpaba ; zat³oczony 
Aislado ; odosobniony
Altruista ; altruistyczny
Apacible ; spokojny/³agodny
Apropiado ; w³aœciwy/prawid³owy
Asado ; pieczony
Asombroso ; niesamowity (amazing)
Austero ; surowy/prosty
Ciego ; niewidomy
Decepcionante ; rozczarowuj¹cy
Descortés ; nieuprzejmy (rude)
Destacado ; wybitny (outstanding)
Diluido ; rozcieñczony
Escaso ; ograniczony/znikomy
Escurridizo ; œliski/nieuchwytny
Extenuante ; forsowny
Férreo ; ¿elazny 
Frito ; sma¿ony
Guisado ; duszony
Hábil ; umiejêtny
Hospitalario ; goœcinny
Imprescindible ; kluczowy/niezbêdny
Inocuo ; nieszkodliwy
Inquietante ; niespokojny
Orgulloso ; dumny
Paulatino ; stopniowy
Perjudicial ; szkodliwy
Remoto/aislado ; odleg³y  (remote)
Repugnante ; obrzydliwy
Semejante ; podobny
Suave ; miêkkie
Sutil ; subtelny
Taca?o ; sk¹py
Tajante ; nieugiêty
Tontito ; g³upiutki
Torpe ; niezdarny
Acaso ; byæ mo¿e (perhaps)
A costa de [algo] ; kosztem [czegoœ]
al azar ; losowo (at random)
al cabo de un rato ; po chwili
al menos ; chocia¿/przynajmniej
al mismo tiempo/a la vez [+ que] ; w tym czasie [+ co] (at the same time [+ that])
a lo sumo ; co najwy¿ej (at most)
ante todo ; przede wszystkim
Apenas ; zaledwie/ledwo
a pesar de ; pomimo [despite]
al principio ; na wstêpie (at first)
a propósito ; umyœlnie (on purpose)
al revés ; na odwrót/ty³ naprzód 
aparento ser ; wydaje siê byæ
Apuesto a que ; za³o¿ê siê ¿e (I bet that)
Así y todo ; mimo wszystko
Asimismo ; równie¿ (spójnik do ³¹czenia dwóch powi¹zanych zdañ)
a través del ; poprzez (through the)
aun así ; mimo to
como medio para ; jako œrodek na
con anterioridad ; z wyprzedzeniem
con relación a ; w zwi¹zku z
continuará ; ci¹g dalszy nast¹pi (to be continued)
De cualquier manera ; byle jak
De hecho ; w rzeczywistoœci (in fact)
De lo contrario ; w przeciwnym razie
De todas formas [maneras] ; tak czy siak (anyway)
Difícil de juzgar ; trudno oceniæ
El otro día/hace unos días ; ostanio (hace unos dias)
En fin ; tak czy siak
En todos los sentidos ; pod ka¿dym wzglêdem (in every way)
En vez de/en lugar de ; zamiast (instead)
Jamás/nunca ; nigdy
Lo que queda ; to co pozostaje
Se abstenga de ; powstrzymywaæ siê od (to refrain from)
me dejó pensando ;" da³o mi do myœlenia (left me thinking)	"
Mientras tanto ; w miêdzyczasie (in the meantime)
Ni bien ; jak tylko (as son as)
No obstante ; jednak¿e (however)
Para los demás ; dla innych
Por fin ; wreszcie (at last)
por lo que sé ; o ile mi wiadomo (as far as I know)
por lo menos ; co najmniej
Por supuesto/Por descontado ; oczywiœcie (of course)
refiriéndose a lo que dijiste ; nawi¹zuj¹c do tego co powiedzia³eœ
Sin embargo ; jednak
sea como sea ; tak czy siak/tak czy inaczej (either way)
Se hecha a perder/Deja de funcionar ; zepsu³o siê/nie dzia³a
Sucede ; zdarza siê
Yo solía [hacer] ; mia³em zwyczaj (I used to [do])
Tal y como ; tak jak
Tales como ; takie jak
Una situación X ; nieznana situacja
Ya que ; gdy¿/jako ¿e
Ya sea como ; albo jako [either as]
Ya sea que ; niezale¿nie od
Abogado al fracaso ; skazany na pora¿kê
Apariencias enga?an ; pozory myl¹
A duras penas ; z trudem/ledwo (barely)
A estas alturas ; w tym momencie/na ten moment (at this time)
Apoyar el punto de vista ; popieraæ punkt widzenia
A todo prisa ; na pe³nych obrotach
Boca en boca ; z ust do ust
El brazo derecho ; prawa rêka
círculo vicioso ; b³êdne ko³o
como cualquier otro ; jak ¿aden inny
dar el visto bueno ; zaakceptowaæ coœ
Dar por vencido ; daæ za wygran¹/poddaæ siê (to give up)
Darlo por sentado ; przyj¹æ za oczywiste (take for granted)
En cuanto a mi ; jeœli o mnie chodzi
En nombre del progreso ; w imiê postêpu
En horas de ocio ; w czasie wolnym
En un periquete/en un abrir y cerrar los ojos ; w mgnieniu oka (in a jiffy)
Es una locura ; To szaleñstwo (this is insane)
Estar con sobrepeso ; mieæ nadwagê
Hacer la vista gorda ; przymkn¹æ na coœ oko
Hasta aquí muy bien ; póki co dobrze (so far so good)
Irse por las ramas ; odbiegaæ od tematu
Justo a tiempo ; w sam¹ porê (just in time)
Llevar a cabo ; doprowadziæ do koñca
Llevar las riendas ; trzymaæ lejce/byæ u steru
Lo anterior requiere – powy¿sze wymaga;
Ni hablar/ni loco ; nie ma mowy! (no way!)
No tener la menor idea ; nie mieæ pojêcia (no idea)
Ombligo del Mundo ; pêpek œwiata
Perder lo papeles ; straciæ samokontrolê
poner el énfasis en algo ; k³aœæ na coœ nacisk
poner la mesa ; nakryæ do sto³u
por mi propia cuenta ; na w³asny rachunek (on my own)
saber de buena tinta ; wiedzieæ z pewnych Ÿróde³
seguir en marcha ; kontynuowaæ (keep going)
Si estuviera en tus zapatos + CONDICIONAL ; Gdybym by³ na twoim miejscu (If I were you)
sin fines de lucro ; non-profit
Recuperar la confianza en uno mismo ; odzyskaæ pewnoœæ siebie
Ser un manazas ; mieæ dwie lewe rêce
Ser un manitas ; byæ z³ot¹ r¹czk¹
Tener apoyo ; mieæ wsparcie
Tener celos ; zazdroœciæ
Uno a la vez ; pojedynczo (one at a time)
Vale la pena ; warto (worth it)
