la abundancia ; obfitość
Afilado ; ostry [kształt]
Agolpaba ; zatłoczony 
Aislado ; odosobniony
Altruista ; altruistyczny
Apacible ; spokojny/łagodny
Apropiado ; właściwy/prawidłowy
Asado ; pieczony
Asombroso ; niesamowity (amazing)
Austero ; surowy/prosty
Ciego ; niewidomy
Decepcionante ; rozczarowujący
Descortés ; nieuprzejmy (rude)
Destacado ; wybitny (outstanding)
Diluido ; rozcieńczony
Escaso ; ograniczony/znikomy
Escurridizo ; śliski/nieuchwytny
Extenuante ; forsowny
Férreo ; żelazny 
Frito ; smażony
Guisado ; duszony
Hábil ; umiejętny
Hospitalario ; gościnny
Imprescindible ; kluczowy/niezbędny
Inocuo ; nieszkodliwy
Inquietante ; niespokojny
Orgulloso ; dumny
Paulatino ; stopniowy
Perjudicial ; szkodliwy
Remoto/aislado ; odległy  (remote)
Repugnante ; obrzydliwy
Semejante ; podobny
Suave ; miękkie
Sutil ; subtelny
Tacaño ; skąpy
Tajante ; nieugięty
Tontito ; głupiutki
Torpe ; niezdarny
Acaso ; być może (perhaps)
A costa de [algo] ; kosztem [czegoś]
al azar ; losowo (at random)
al cabo de un rato ; po chwili
al menos ; chociaż/przynajmniej
al mismo tiempo/a la vez [+ que] ; w tym czasie [+ co] (at the same time [+ that])
a lo sumo ; co najwyżej (at most)
ante todo ; przede wszystkim
Apenas ; zaledwie/ledwo
a pesar de ; pomimo [despite]
al principio ; na wstępie (at first)
a propósito ; umyślnie (on purpose)
al revés ; na odwrót/tył naprzód 
aparento ser ; wydaje się być
Apuesto a que ; założę się że (I bet that)
Así y todo ; mimo wszystko
Asimismo ; również (spójnik do łączenia dwóch powiązanych zdań)
a través del ; poprzez (through the)
aun así ; mimo to
como medio para ; jako środek na
con anterioridad ; z wyprzedzeniem
con relación a ; w związku z
continuará ; ciąg dalszy nastąpi (to be continued)
De cualquier manera ; byle jak
De hecho ; w rzeczywistości (in fact)
De lo contrario ; w przeciwnym razie
De todas formas [maneras] ; tak czy siak (anyway)
Difícil de juzgar ; trudno ocenić
El otro día/hace unos días ; ostanio (hace unos dias)
En fin ; tak czy siak
En todos los sentidos ; pod każdym względem (in every way)
En vez de/en lugar de ; zamiast (instead)
Jamás/nunca ; nigdy
Lo que queda ; to co pozostaje
Se abstenga de ; powstrzymywać się od (to refrain from)
me dejó pensando ; dało mi do myślenia (left me thinking)	
Mientras tanto ; w międzyczasie (in the meantime)
Ni bien ; jak tylko (as son as)
No obstante ; jednakże (however)
Para los demás ; dla innych
Por fin ; wreszcie (at last)
por lo que sé ; o ile mi wiadomo (as far as I know)
por lo menos ; co najmniej
Por supuesto/Por descontado ; oczywiście (of course)
refiriéndose a lo que dijiste ; nawiązując do tego co powiedziałeś
Sin embargo ; jednak
sea como sea ; tak czy siak/tak czy inaczej (either way)
Se hecha a perder/Deja de funcionar ; zepsuło się/nie działa
Sucede ; zdarza się
Yo solía [hacer] ; miałem zwyczaj (I used to [do])
Tal y como ; tak jak
Tales como ; takie jak
Una situación X ; nieznana situacja
Ya que ; gdyż/jako że
Ya sea como ; albo jako [either as]
Ya sea que ; niezależnie od
Abogado al fracaso ; skazany na porażkę
Apariencias engañan ; pozory mylą
A duras penas ; z trudem/ledwo (barely)
A estas alturas ; w tym momencie/na ten moment (at this time)
Apoyar el punto de vista ; popierać punkt widzenia
A todo prisa ; na pełnych obrotach
Boca en boca ; z ust do ust
El brazo derecho ; prawa ręka
círculo vicioso ; błędne koło
como cualquier otro ; jak żaden inny
dar el visto bueno ; zaakceptować coś
Dar por vencido ; dać za wygraną/poddać się (to give up)
Darlo por sentado ; przyjąć za oczywiste (take for granted)
En cuanto a mi ; jeśli o mnie chodzi
En nombre del progreso ; w imię postępu
En horas de ocio ; w czasie wolnym
En un periquete/en un abrir y cerrar los ojos ; w mgnieniu oka (in a jiffy)
Es una locura ; To szaleństwo (this is insane)
Estar con sobrepeso ; mieć nadwagę
Hacer la vista gorda ; przymknąć na coś oko
Hasta aquí muy bien ; póki co dobrze (so far so good)
Irse por las ramas ; odbiegać od tematu
Justo a tiempo ; w samą porę (just in time)
Llevar a cabo ; doprowadzić do końca
Llevar las riendas ; trzymać lejce/być u steru
Lo anterior requiere – powyższe wymaga
Ni hablar/ni loco ; nie ma mowy! (no way!)
No tener la menor idea ; nie mieć pojęcia (no idea)
Ombligo del Mundo ; pępek świata
Perder lo papeles ; stracić samokontrolę
poner el énfasis en algo ; kłaść na coś nacisk
poner la mesa ; nakryć do stołu
por mi propia cuenta ; na własny rachunek (on my own)
saber de buena tinta ; wiedzieć z pewnych źródeł
seguir en marcha ; kontynuować (keep going)
Si estuviera en tus zapatos + CONDICIONAL ; Gdybym był na twoim miejscu (If I were you)
sin fines de lucro ; non-profit
Recuperar la confianza en uno mismo ; odzyskać pewność siebie
Ser un manazas ; mieć dwie lewe ręce
Ser un manitas ; być złotą rączką
Tener apoyo ; mieć wsparcie
Tener celos ; zazdrościć
Uno a la vez ; pojedynczo (one at a time)
Vale la pena ; warto (worth it)
